Jugador del golpeo;Nombre;Rally;Stroke;Zone;Posición;Duración;Country Player1;Country Player2;Interval;Match;Play R or L Player1;Play R or L Player2;Player1;Player2;Rally Time;Round;Set;Tournament;WR Player1;WR Player2;Field Position;Player on C1;Type of service;Zona de C1;Game Phase;Barrido Fuerte;Rally Outcome;Rest Time;Tipo de recepcion;Reves;Match Duration
Line Kjaersfeldt;"-14;-55 (1)";8;6;12;507300;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;12;;;;Defence;F;;;;;
Phittayaporn Chaiwan;"13;39 (1)";8;7;8;508900;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;8;;;;Construccion;;;;;;
Line Kjaersfeldt;"13;-9 (1)";8;8;1;508900;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;1;;;;Construccion;;;;;;
Phittayaporn Chaiwan;"-15;56 (2)";8;9;9;508900;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;9;;;;Defence;;;;;;
Line Kjaersfeldt;"-10;-55 (1)";8;10;12;511800;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;12;;;;Attack;;;;;;
Phittayaporn Chaiwan;"-13;37 (1)";8;11;5;513300;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;5;;;;Defence;;;;;;
Line Kjaersfeldt;"4;-16 (1)";8;12;2;514033;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;2;;;;Construccion;;;;;;
Phittayaporn Chaiwan;"-19;50 (1)";8;13;Out;514033;5000;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;OUT SIDE;;;;Construccion;;Unforced Line Kjaersfeldt;;;;
Line Kjaersfeldt;Rest Time (8);8;;;518066;26966;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;;3;1;Hylo Open 2021;27;21;;;;;;;;Rest Time;;;
Line Kjaersfeldt;Rally Time (9);9;;;545033;11900;DEN;THA;Before;Line Kjaersfeldt-Phittayaporn Chaiwan;Right handed;Right handed;Line Kjaersfeldt;Phittayaporn Chaiwan;Rally Time;3;1;Hylo Open 2021;27;21;;;;;;;;;;;
